年度	關稅版本	HS Code	產品描述	從價稅 %	從量稅	import	export	hs2
2019	HS2017	44011100-  	- - Coniferous	20	 	024	008	44
2019	HS2017	44011200-  	- - Non-coniferous	20	 	024	008	44
2019	HS2017	44012100-  	- - Coniferous	20	 	024	008	44
2019	HS2017	44012200-  	- - Non-coniferous	20	 	024	008	44
2019	HS2017	44013100-  	- - Wood pellets	20	 	024	008	44
2019	HS2017	44013900-  	- - Other	20	 	024	008	44
2019	HS2017	44014000-  	- Sawdust and wood waste and scrap, not agglomerated	20	 	024	008	44
2019	HS2017	44021000-  	- Of bamboo	20	 	024	008	44
2019	HS2017	44029000-  	- Other	20	 	024	008	44
2019	HS2017	44031100-  	- - Coniferous	20	 	024	008	44
2019	HS2017	44031200-  	- - Non-coniferous	20	 	024	008	44
2019	HS2017	44032100-  	- - Of pine (Pinus spp.), of which any cross-sectional dimension is 15 cm or more	20	 	024	008	44
2019	HS2017	44032200-  	- - Of pine (Pinus spp.), other	20	 	024	008	44
2019	HS2017	44032300-  	- - Of fir (Abies spp.) and spruce (Picea spp.), of which any cross-sectional dimension is 15 cm or more	20	 	024	008	44
2019	HS2017	44032400-  	- - Of fir (Abies spp.) and spruce (Picea spp.), other	20	 	024	008	44
2019	HS2017	44032500-  	- - Other, of which any cross-sectional dimension is 15 cm or more	20	 	024	008	44
2019	HS2017	44032600-  	- - Other	20	 	024	008	44
2019	HS2017	44034100-  	- - Dark Red Meranti, Light Red Meranti and Meranti Bakau	20	 	024	008	44
2019	HS2017	44034900-  	- - Other	20	 	024	008	44
2019	HS2017	44039100-  	- - Of oak (Quercus spp.)	20	 	024	008	44
2019	HS2017	44039300-  	- - Of beech (Fagus spp.), of which any cross-sectional dimension is 15 cm or more	20	 	024	008	44
2019	HS2017	44039400-  	- - Of beech (Fagus spp.), other	20	 	024	008	44
2019	HS2017	44039500-  	- - Of birch (Betula spp.), of which any cross-sectional dimension is 15 cm or more	20	 	024	008	44
2019	HS2017	44039600-  	- - Of birch (Betula spp.), other	20	 	024	008	44
2019	HS2017	44039700-  	- - Of poplar and aspen (Populus spp.)	20	 	024	008	44
2019	HS2017	44039800-  	- - Of eucalyptus (Eucalyptus spp.)	20	 	024	008	44
2019	HS2017	44039900-  	- - Other	20	 	024	008	44
2019	HS2017	44041000-  	- Coniferous	30	 	024	008	44
2019	HS2017	44042000-  	- Non-coniferous	30	 	024	008	44
